frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
46,3.0000000000000027,3.0000000000000027,1753497017.2618973,1753497017.3867786,1753497017.4352105,1753497017.4359734,1753497017.4645872,5.0
47,3.0666666666666695,3.0666666666666695,1753497017.3266013,1753497017.436842,1753497017.4926414,1753497017.493366,1753497017.528991,5.0
48,3.1333333333333364,3.1333333333333364,1753497017.3880444,1753497017.494438,1753497017.551133,1753497017.5519395,1753497017.5984957,5.0
49,3.2000000000000033,3.2000000000000033,1753497017.4373968,1753497017.5529737,1753497017.6123502,1753497017.6130495,1753497017.672478,5.0
50,3.26666666666667,3.26666666666667,1753497017.4947648,1753497017.6140227,1753497017.6737707,1753497017.6744857,1753497017.7396045,5.0
51,3.333333333333337,3.333333333333337,1753497017.553917,1753497017.6758387,1753497017.737675,1753497017.7398593,1753497017.8082032,5.0
52,3.400000000000004,3.400000000000004,1753497017.615076,1753497017.7401817,1753497017.799523,1753497017.808376,1753497017.871587,5.0
53,3.466666666666671,3.466666666666671,1753497017.6768203,1753497017.8010178,1753497017.8597033,1753497017.8717635,1753497017.9342005,5.0
54,3.5333333333333377,3.5333333333333377,1753497017.7405477,1753497017.861239,1753497017.91999,1753497017.9343586,1753497017.9976962,5.0
55,3.6000000000000045,3.6000000000000045,1753497017.8024032,1753497017.9213927,1753497017.9796658,1753497017.997868,1753497018.0649679,5.0
56,3.6666666666666714,3.6666666666666714,1753497017.8621647,1753497017.9812686,1753497018.0380278,1753497018.065336,1753497018.128702,5.0
57,3.7333333333333383,3.7333333333333383,1753497017.923014,1753497018.039188,1753497018.0895941,1753497018.1291313,1753497018.2014186,5.0
58,3.800000000000005,3.800000000000005,1753497017.9820495,1753497018.090718,1753497018.1479924,1753497018.201608,1753497018.2781546,5.0
59,3.866666666666672,3.866666666666672,1753497018.040471,1753497018.1491456,1753497018.2097797,1753497018.2783322,1753497018.3391516,5.0
60,3.933333333333339,3.933333333333339,1753497018.0921645,1753497018.2111506,1753497018.2698154,1753497018.3394964,1753497018.3935492,5.0
61,4.000000000000005,4.000000000000005,1753497018.150797,1753497018.2719984,1753497018.3333516,1753497018.3938568,1753497018.4680576,5.0
62,4.066666666666672,4.066666666666672,1753497018.2121534,1753497018.3366547,1753497018.3974464,1753497018.468225,1753497018.5307357,5.0
63,4.133333333333338,4.133333333333338,1753497018.2724104,1753497018.3999662,1753497018.4566607,1753497018.5309794,1753497018.5946007,5.0
64,4.200000000000005,4.200000000000005,1753497018.3364582,1753497018.4578476,1753497018.509543,1753497018.5948567,1753497018.705471,5.0
65,4.266666666666671,4.266666666666671,1753497018.4005954,1753497018.5105584,1753497018.5605626,1753497018.705926,1753497018.7312663,5.0
66,4.3333333333333375,4.3333333333333375,1753497018.459231,1753497018.561644,1753497018.6134832,1753497018.7314692,1753497018.798964,5.0
67,4.400000000000004,4.400000000000004,1753497018.5116694,1753497018.61456,1753497018.667472,1753497018.7993486,1753497018.8728392,5.0
68,4.46666666666667,4.46666666666667,1753497018.5625093,1753497018.6994753,1753497018.7547848,1753497018.8730006,1753497018.9346082,5.0
69,4.533333333333337,4.533333333333337,1753497018.6164186,1753497018.7559032,1753497018.811201,1753497018.9347622,1753497018.9994276,5.0
70,4.600000000000003,4.600000000000003,1753497018.700709,1753497018.8125358,1753497018.8652143,1753497018.9995902,1753497019.0622058,5.0
71,4.66666666666667,4.66666666666667,1753497018.7569618,1753497018.8666108,1753497018.9212675,1753497019.0626988,1753497019.1365278,5.0
72,4.733333333333336,4.733333333333336,1753497018.8142166,1753497018.9225667,1753497018.973384,1753497019.1366682,1753497019.1934085,5.0
73,4.8000000000000025,4.8000000000000025,1753497018.868181,1753497018.9744418,1753497019.0251086,1753497019.1935506,1753497019.2611814,5.0
74,4.866666666666669,4.866666666666669,1753497018.9232955,1753497019.0262256,1753497019.0788414,1753497019.2613504,1753497019.3282037,5.0
75,4.933333333333335,4.933333333333335,1753497018.9761524,1753497019.0799506,1753497019.13151,1753497019.3284094,1753497019.3978019,5.000000000000002
